origin_id,destinatio,entry_cost,network_co,exit_cost,total_cost
Esquina,Capital,0.0697231,28.1415447,0.0000000,28.2071665
Esquina,Concepcion,0.0697231,27.9593563,0.0736135,28.0985916
Esquina,Curuzu Cuatia,0.0697231,27.9593563,0.0736135,28.0985916
Esquina,Empedrado,0.0697231,23.2090940,0.0000000,23.2747157
Esquina,Esquina,0.0697231,0.0000000,0.0000000,23.2747157
Esquina,General Alvear,0.0697231,29.9269832,0.0000000,29.9926049
Esquina,Departamento General Paz,0.0697231,31.2816499,0.0401319,31.3874036
Esquina,Goya,0.0697231,21.4732859,0.0000000,21.5389076
Esquina,Itati,0.0697231,32.9050434,0.0332713,33.0039365
Esquina,Ituzaingo,0.0697231,39.9888627,0.0000000,40.0544844
Esquina,Lavalle,0.0697231,19.4377461,0.0862448,19.5896126
Esquina,Mburucuya,0.0697231,24.9642380,0.0404930,25.0703528
Esquina,Mercedes,0.0697231,18.3456404,0.0000000,18.4112622
Esquina,Monte Caseros,0.0697231,19.6114487,0.0000000,19.6770705
Esquina,Departamento Paso de los Libres,0.0697231,22.4987597,0.0000000,22.5643814
Esquina,Departamento Saladas,0.0697231,22.4987597,0.0000000,22.5643814
Esquina,San Cosme,0.0697231,30.1680399,0.0802203,30.3138819
Esquina,Departamento San Luis del Palmar,0.0697231,28.8274679,0.0689451,28.9620347
Esquina,San Martin,0.0697231,28.7159687,0.0552303,28.8368207
Esquina,San Miguel,0.0697231,30.7835646,0.0000000,30.8491863
Esquina,San Roque,0.0697231,17.3861408,0.0845838,17.5363463
Esquina,Santo Tome,0.0697231,36.7388176,0.0000000,36.8044393
Esquina,Sauce,0.0697231,12.6514759,0.0000000,12.7170977
General Alvear,Bella Vista,0.0000000,26.8982733,0.0000000,26.8982733
General Alvear,Beron de Astrada,0.0000000,27.6891321,0.0131334,27.7022655
General Alvear,Capital,0.0000000,35.3273108,0.0000000,35.3273108
General Alvear,Concepcion,0.0000000,35.1451224,0.0736135,35.2187359
General Alvear,Curuzu Cuatia,0.0000000,35.1451224,0.0736135,35.2187359
General Alvear,Empedrado,0.0000000,30.3948601,0.0000000,30.3948601
General Alvear,Esquina,0.0000000,29.9269832,0.0656217,29.9926049
General Alvear,General Alvear,0.0000000,0.0000000,0.0656217,29.9926049
General Alvear,Departamento General Paz,0.0000000,28.9932831,0.0401319,29.0334150
General Alvear,Goya,0.0000000,28.6590520,0.0000000,28.6590520
General Alvear,Itati,0.0000000,33.5342664,0.0332713,33.5675378
General Alvear,Ituzaingo,0.0000000,19.8399805,0.0000000,19.8399805
General Alvear,Lavalle,0.0000000,26.6235122,0.0862448,26.7097570
General Alvear,Mburucuya,0.0000000,32.1500041,0.0404930,32.1904971
General Alvear,Mercedes,0.0000000,15.9929046,0.0000000,15.9929046
General Alvear,Monte Caseros,0.0000000,16.1380898,0.0000000,16.1380898
General Alvear,Departamento Paso de los Libres,0.0000000,7.6879377,0.0000000,7.6879377
General Alvear,Departamento Saladas,0.0000000,7.6879377,0.0000000,7.6879377
General Alvear,San Cosme,0.0000000,35.0799918,0.0802203,35.1602120
